filters,"processName.keyword: Descending",Count
"TRA開始回数","P00002_07_OutputIntegration_ConfirmCreditCardSales_W10JPO16JP_ProdEnv_P00002_UR_W10JPO16JP",9
"TRA開始回数","P00165_02_CreateEndStockList_W10JPO16JP_ProdEnv_P00165_UR_W10JPO16JP",9
"TRA開始回数","P00195_SalesPlanConfirmMeetingReport_W10JPO16JP_ProdEnv_P00195_UR_W10JPO16JP",9
"TRA開始回数","P00229_01_OOS_Report_ProdEnv_P00229_UR_W10ENO16EN",9
"TRA開始回数","P00247_PL_Store_Process_ProdEnv_P00247_UR_W10JPO16EN",9
"TRA開始回数","P00285_RPA_CO_SKU_History_ProdEnv_P00285_UR_W10ENO16EN",9
"TRA開始回数","P00018_02_FixLogisticsActualCost_DownloadSAP_W10JPO16JP_ProdEnv_P00018_AR_W10JPO16JP",8
"TRA開始回数","P00020_EC-MD_ActualOrderReport_W10JPO16JP_ProdEnv_P00020_AR_W10JPO16JP",8
"TRA開始回数","P00093_02_FixLogisticsActualCost2_DownloadReport_W10JPO16JP_ProdEnv_P00093_UR_W10JPO16JP",8
"TRA開始回数","P00130_01_CreateLessAmountStockRunOut_W10JPO16JP_ProdEnv_P00130_UR_W10JPO16JP",8
"TRA開始回数","P00196_WeeklySalesTopReport_W10JPO16JP_ProdEnv_P00196_UR_W10JPO16JP",8
"TRA開始回数","P00197_MonthlySalesTopReport_W10JPO16JP_ProdEnv_P00197_UR_W10JPO16JP",8
"TRA開始回数","P00225_TaxInvoice_W10JPO16JP_ProdEnv_P00225_UR_W10JPO16JP",8
"TRA開始回数","P00237_ADC_DC_Inventory_Report_Download_ProdEnv_P00237_UR_W10ENO16EN",8
"TRA開始回数","P00271_GU_PODeadLineReport_W10JPO16JP_ProEnv_P00271_UR_W10JPO16JP",8
"TRA開始回数","P00318_Product_Dimension_Traffic_Data",8
"TRA開始回数","P00002_05_SUNMI_ConfirmCreditCardSales_W10JPO16JP_ProdEnv_P00002_UR_W10JPO16JP",7
"TRA開始回数","P00002_06_CPay_ConfirmCreditCardSales_W10JPO16JP_ProdEnv_P00002_UR_W10JPO16JP",7
"TRA開始回数","P00017_01_LogisticsKPI_DownloadQuery_W10JPO16JP_ProdEnv_P00017_UR_W10JPO16JP",7
"TRA開始回数","P00017_03_LogisticsKPI_DC_W10JPO16JP_ProdEnv_P00017_UR_W10JPO16JP",7
"TRA開始回数","P00093_01_FixLogisticsActualCost2_DownloadQuery_W10JPO16JP_ProdEnv_P00093_UR_W10JPO16JP",7
"TRA開始回数","P00099_01_AlteredClothesShippingPlanning_W10JPO16JP_ProdEnv_P00099_UR_W10JPO16JP",7
"TRA開始回数","P00138_SalesPlanReport_W10JPO16JP_ProdEnv_P00138_UR_W10JPO16JP",7
"TRA開始回数","P00152_04_LogisticsTrackingKPI_CalculateKPIFromQuery_W10JPO16JP_ProdEnv_P00152_UR_W10JPO16JP",7
"TRA開始回数","P00185_BudgetRegistration_W10ENO16EN_ProdEnv_P00185_AR_W10ENO16EN",7
"TRA開始回数","P00254_01_RPA_Assort_Master_ProdEnv_P00254_UR_W10ENO16EN",7
"TRA開始回数","P00254_02_RPA_ArrivalTo_Warehouse_Plan_ProdEnv_P00254_UR_W10ENO16EN",7
"TRA開始回数","P00255_RPA_TSF_ProdEnv_P00255_UR_W10ENO16EN",7
"TRA開始回数","P00277_01_GU_AutoUpgrade_W10JPO16JP_ProdEnv_P00277_01_UR_W10JPO16JP",7
"TRA開始回数","P00286_RPA_Item_History_ProdEnv_P00286_UR_W10ENO16EN",7
"TRA開始回数","P00011_01_PaymentNotice_W10JPO16JP_ProdEnv_P00011_AR_W10JPO16JP",6
"TRA開始回数","P00021_01_EC-MD_ActualResultReportBySKU_ReceivedOrders_W10JPO16EN_ProdEnv_P00021_AR_W10JPO16EN",6
"TRA開始回数","P00027_01_SendIndustrialPhysiciansReportFormat_W10JPO16JP_ProdEnv_P00027_AR_W10JPO16JP",6
"TRA開始回数","P00109_01_AnswerLabPost_W10JPO16JP_ProdEnv_P00109_AR_W10JPO16JP",6
"TRA開始回数","P00232_01_ColorSize_Report_Automation_1_ProdEnv_P00232_UR_W10ENO16EN",6
"TRA開始回数","P00277_02_GU_AutoUpgrade_W10JPO16JP_ProdEnv_P00277_02_UR_W10JPO16JP",6
"TRA開始回数","P00319_Store_Traffic_Source_Data",6
"TRA開始回数","P00048_01_MonitorringData_Making_W10JPO16JP_ProdEnv_P00048_UR_W10JPO16JP",5
"TRA開始回数","P00072_CustomersSoldNumberAnalysis_W10JPO16JP_ProdEnv_P00072_UR_W10JPO16JP",5
"TRA開始回数","P00105_02_SendNG_W10JPO16JP_ProdEnv_P00105_UR_W10JPO16JP",5
"TRA開始回数","P00176_ForcastByBizByDeptReport_W10JPO16JP_ProdEnv_P00176_UR_W10JPO16JP",5
"TRA開始回数","P00192_WeekendBusinessReport_W10ENO16EN_ProdEnv_P00192_UR_W10ENO10EN",5
"TRA開始回数","P00230_03_MV_Analysis_DailyReport_VBA_ProdEnv_P00230_UR",5
"TRA開始回数","P00245_08_Z_System_Automation_ProdEnv_P00245_UR_W10ENO16EN",5
"TRA開始回数","P00014_03_CheckFlyerMainProcess_W10JPO16JP_ProdEnv_P00014_AR_W10JPO16JP",4
"TRA開始回数","P00014_04_CheckFlyerFinalProduct_W10JPO16JP_ProdEnv_P00014_AR_W10JPO16JP",4
"TRA開始回数","P00015_1_SumUp200NextWeek_W10JPO16JP_ProdEnv_P00015_AR_W10JPO16JP",4
"TRA開始回数","P00015_3_SumByTheDayNextWeek_W10JPO16JP_ProdEnv_P00015_AR_W10JPO16JP",4
"TRA開始回数","P00025_02_MedicalCheckupReport_W10JPO16JP_ProdEnv_P00025_UR_W10JPO16JP",4
"TRA開始回数","P00128_01_UTme_AggregateLicense_W10JPO16JP_ProdEnv_P00128_AR_W10JPO16JP",4
"TRA開始回数","P00245_02_Z_System_Automation_ProdEnv_P00245_UR_W10ENO16EN",4
"TRA開始回数","P00245_03_Z_System_Automation_ProdEnv_P00245_UR_W10ENO16EN",4
"TRA開始回数","P00276_10_GU_Data_Extraction_ARKOfficialPlan_ProdEnv_P00276_10_UR_W10JPO16JP",4
"TRA開始回数","P00011_02_PaymentNotice_W10JPO16JP_ProdEnv_P00011_AR_W10JPO16JP",3
"TRA開始回数","P00018_03_FixLogisticActualCost_CreateDetailCost_W10JPO16JP_ProdEnv_P00018_AR_W10JPO16JP",3
"TRA開始回数","P00020_EC-MD_ActualOrderReport_W10JPO16JP_ProdEnv_P00020_UR_W10JPO16JP",3
"TRA開始回数","P00057_GJUpload_SAP_W10JPO16JP_ProdEnv_P00057_AR_W10JPO16JP",3
"TRA開始回数","P00226_01_Income_Inventory_Analysis_WeeklyReport_A_ProdEnv_P00226_UR",3
"TRA開始回数","P00226_02_Income_Inventory_Analysis_WeeklyReport_B_ProdEnv_P00226_UR",3
"TRA開始回数","P00245_01_Z_System_Automation_ProdEnv_P00245_UR_W10ENO16EN",3
"TRA開始回数","P00245_05_Z_System_Automation_ProdEnv_P00245_UR_W10ENO16EN",3
"TRA開始回数","P00253_02_EC_Omni-channel_Sales_Report_ProdEnv_P00253_UR_W10ENO16EN",3
"TRA開始回数","P00257_02_RPA_fr_AG_weekly_plan_ProdEnv_P00257_UR_W10ENO16EN",3
"TRA開始回数","P00276_11_GU_Data_Extraction_PreActualReg_ProdEnv_P00276_11_UR_W10JPO16JP",3
"TRA開始回数","P00276_12_GU_Data_Extraction_DLSheet_ProdEnv_P00276_12_UR_W10JPO16JP",3
"TRA開始回数","P00285_RPA_CO_SKU_History",3
"TRA開始回数","P00294_EC_Out_of_SKU_Rate_Report",3
"TRA開始回数","P00017_05_LogisticsKPI_DownloadWMS_W10JPO16JP_ProdEnv_P00017_UR_W10JPO16JP",2
"TRA開始回数","P00027_02_ReceiveIndustrialPhysiciansReport_W10JPO16JP_ProdEnv_P00027_AR_W10JPO16JP",2
"TRA開始回数","P00069_01_CreateGlobalMDReport_W10JPO16JP_ProdEnv_P00069_UR_W10JPO16JP",2
"TRA開始回数","P00093_05_FixLogisticsActualCost2_Estimate_W10JPO16JP_ProdEnv_P00093_AR_W10JPO16JP",2
"TRA開始回数","P00118_01_CreateFolderPending_W10JPO16JP_ProdEnv_P00118_UR_W10JPO16JP",2
"TRA開始回数","P00131_02_SendMailToFlyerSupplier_ProdEnv_P00131_AR_W10JPO16JP",2
"TRA開始回数","P00141_OutputOfUnifiedManagementForm_W10JPO16JP_ProdEnv_P00141_UR_W10JPO16JP",2
"TRA開始回数","P00147_ItemTransfer_W10JPO16JP_ProdEnv_P00147_AR_W10JPO16JP",2
"TRA開始回数","P00151_SC_Order_W10JPO16JP_ProdEnv_P00151_AR_W10JPO16JP",2
"TRA開始回数","P00154_SellingPriceChangeDirectionsNotice_ProdEnv_P00154_AR_W10JPO16JP",2
"TRA開始回数","P00155_SummaryAgainstPreviousWeek_W10JPO16JP_ProdEnv_P00155_UR_W10JPO16JP",2
"TRA開始回数","P00172_OutputInventoryForecast_ProdEnv_P00172_UR_W10JPO16JP",2
"TRA開始回数","P00177_01_GlobalSeasonReport_W10JPO16JP_ProdEnv_P00177_UR_W10JPO16JP",2
"TRA開始回数","P00177_02_GlobalHBKKvsMDPlanReport_W10JPO16JP_ProdEnv_P00177_UR_W10JPO16JP",2
"TRA開始回数","P00226_03_Income_Inventory_Analysis_WeeklyReport_VBA_ProdEnv_P00226_UR",2
"TRA開始回数","P00227_01_OutputMonthlySCMForecast_W10JPO16JP_ProdEnv_P00227_UR_W10JPO16JP",2
"TRA開始回数","P00230_03_MV_Analysis_DailyReport_VBA",2
"TRA開始回数","P00237_ADC_DC_Inventory_Report_Download",2
"TRA開始回数","P00252_DailyReport",2
"TRA開始回数","P00258_01_RPA_MD_Sls_Sum_Weekly_Plan_ProdEnv_P00258_UR_W10ENO16EN",2
"TRA開始回数","P00258_02_RPA_MD_Pln_Sum_Weekly_Plan_ProdEnv_P00258_UR_W10ENO16EN",2
"TRA開始回数","P00259_02_RPA_Inv_Weekly_Plan_ByGDept_ProdEnv_P00259_UR_W10ENO16EN",2
"TRA開始回数","P00270_NewProductSalesResult_ProdEnv_P00270_UR_W10JPO16JP",2
"TRA開始回数","P00276_03_GU_Data_Extraction_OfficialPlan_ProdEnv_P00276_03_UR_W10JPO16JP",2
"TRA開始回数","P00284_GU_Global_SKUReport_ProdEnv_P00284_UR_W10JPO16JP",2
"TRA開始回数","P00015_2_SumUp200ThisWeek_W10JPO16JP_ProdEnv_P00015_AR_W10JPO16JP",1
"TRA開始回数","P00015_4_SumByTheDayThisWeek_W10JPO16JP_ProdEnv_P00015_AR_W10JPO16JP",1
"TRA開始回数","P00018_01_FixLogisticsActualCost_DownloadQuery_W10JPO16JP_ProdEnv_P00018_AR_W10JPO16JP",1
"TRA開始回数","P00018_03_FixLogisticActualCost_CreateDetailCost_W10JPO16JP_ProdEnv_P00018_UR_W10JPO16JP",1
"TRA開始回数","P00029_02_DeliScheSummary_WIN10JPO16JP_ProdEnv_P00029_AR_W10JPO16JP",1
"TRA開始回数","P00086_HmUnpaidRentAxUpload_W10JPO16JP_ProdEnv_P00086_AR_W10JPO16JP",1
"TRA開始回数","P00092_01_SendRemindMailForStockOption_W10JPO16JP_ProdEnv_P00092_UR_W10JPO16JP",1
"TRA開始回数","P00094_CMSTransactionAxUpload_W10JPO16JP_ProdEnv_P00094_AR_W10JPO16JP",1
"TRA開始回数","P00097_NttComWithdrawTransferAxUpload_W10JPO16JP_ProdEnv_P00097_AR_W10JPO16JP",1
"TRA開始回数","P00098_NttEWWithdrawTransferAxUpload_W10JPO16JP_ProdEnv_P00098_AR_W10JPO16JP",1
"TRA開始回数","P00149_CheckFlyerInformation_W10JPO16JP_ProdEnv_P00149_AR_W10JPO16JP",1
"TRA開始回数","P00153_01_DeliveryKPI_DownloadQuery_W10JPO16JP_ProdEnv_P00153_UR_W10JPO16JP",1
"TRA開始回数","P00162_02_ContractRenewalOfFixedTermEmployees_W10JPO16JP_ProdEnv_P00162_AR_W10JPO16JP",1
"TRA開始回数","P00239_02_Abnormal_Absence_Notification_Monthly__ProdEnv_P00239_UR_W10ENO16EN",1
"TRA開始回数","P00244_Custommade_SalesPerformance_Management_W10JPO16JP_ProdEnv_P00244_UR_W10JPO16JP",1
"TRA開始回数","P00246_AMEX_Reconciliation_ProdEnv_P00246_UR_W10JPO16EN",1
"TRA開始回数","P00254_01_RPA_Assort_Master",1
"TRA開始回数","P00254_02_RPA_ArrivalTo_Warehouse_Plan",1
"TRA開始回数","P00257_01_RPA_fr_AS_weekly_plan_ProdEnv_P00257_UR_W10ENO16EN",1
"TRA開始回数","P00259_01_RPA_Inv_Weekly_Plan_ByAll_ProdEnv_P00259_UR_W10ENO16EN",1
"TRA開始回数","P00260_RPA_EC_Weekly_Plan_ProdEnv_P00260_UR_W10ENO16EN",1
"TRA開始回数","P00262_RPA_Finance_Daily_Target_Bystore_ProdEnv_P00262_UR_W10ENO16EN",1
"TRA開始回数","P00276_02_GU_Data_Extraction_WeeklySlsTop_ProdEnv_P00276_02_UR_W10JPO16JP",1
"TRA開始回数","P00276_04_GU_Data_Extraction_MonthlyResult_ProdEnv_P00276_04_UR_W10JPO16JP",1
"TRA開始回数","P00276_05_GU_Data_Extraction_DeptActualBySsn_ProdEnv_P00276_05_UR_W10JPO16JP",1
"TRA開始回数","P00276_06_GU_Data_Extraction_ProductionPlan_ProdEnv_P00276_06_UR_W10JPO16JP",1
"TRA開始回数","P00276_07_GU_Data_Extraction_SeasonalBudget_ProdEnv_P00276_07_UR_W10JPO16JP",1
"TRA開始回数","P00276_08_GU_Data_Extraction_FiscalYrByDept_ProdEnv_P00276_08_UR_W10JPO16JP",1
"TRA開始回数","P00276_09_GU_Data_Extraction_MDReport_ProdEnv_P00276_09_UR_W10JPO16JP",1
"TRA開始回数","P00276_13_GU_Data_Extraction_DeliveryDataList_ProdEnv_P00276_13_UR_W10JPO16JP",1
"TRA開始回数","P00306_01_GU_CostFix_Monitoring_Thu_ProdEnv_P00306_01_UR_W10JPO16JP",1
"TRA開始回数","P00306_02_GU_CostFix_Monitoring_Mon_ProdEnv_P00306_02_UR_W10JPO16JP",1
"TRA開始回数","P00306_03_GU_CostFix_Monitoring_Tue_ProdEnv_P00306_03_UR_W10JPO16JP",1
"TRA開始回数","P00320_Overall_Store_Data",1
"TRA開始回数","P00333_GU_Cost_Seq_List_ProdEnv_P00333_UR_W10JPO16JP",1
